kin_weight_same_lineage,kin_weight_other_lineage,kin_bias_ratio,B_plus_scale,C_scale,mutation_rate,replicate,mean_final_trait,std_final_trait,min_final_trait,max_final_trait
0.5,0.1,5.0,1.0,0.3,0.01,5,0.2572962944955983,0.0639908498826485,0.11926604755157912,0.25630154064274646
0.5,0.1,5.0,1.2,0.1,0.01,0,0.3437373122157581,0.02579342915434868,0.11987586841713165,0.34257496787315955
0.5,0.1,5.0,1.2,0.1,0.01,1,0.3490010151426554,0.030853099211484162,0.11862336521493885,0.34964299962569295
0.5,0.1,5.0,1.2,0.1,0.01,2,0.3255954390677738,0.03402242727033306,0.11757638181640452,0.3230820666577567
0.5,0.1,5.0,1.2,0.1,0.01,3,0.36120899104868687,0.04063871388229212,0.11753118812823783,0.35974108476545585
0.5,0.1,5.0,1.2,0.1,0.01,4,0.41181956977102474,0.047197217189819216,0.12114467164362658,0.4099274155076856
0.5,0.1,5.0,1.2,0.1,0.01,5,0.32568231720464386,0.02809885933495579,0.11926604755157912,0.3259994338577187
0.5,0.1,5.0,1.2,0.2,0.01,0,0.3285626875683039,0.03340933463938544,0.11987586841713165,0.3276608002543245
0.5,0.1,5.0,1.2,0.2,0.01,1,0.3985223397309249,0.027740512301650276,0.11862336521493885,0.3989668825573276
0.5,0.1,5.0,1.2,0.2,0.01,2,0.24395988978125693,0.038375796703680104,0.11757638181640452,0.24623501407983012
0.5,0.1,5.0,1.2,0.2,0.01,3,0.3571889502371503,0.04698984576376001,0.11753118812823783,0.35592763335524613
0.5,0.1,5.0,1.2,0.2,0.01,4,0.35941224488844215,0.05067486989364068,0.12114467164362658,0.3598481663723743
0.5,0.1,5.0,1.2,0.2,0.01,5,0.3137498240685264,0.038101012923146396,0.11926604755157912,0.31334067587382397
0.5,0.1,5.0,1.2,0.3,0.01,0,0.25799344597483154,0.04054037187165269,0.11987586841713165,0.25631328194482816
0.5,0.1,5.0,1.2,0.3,0.01,1,0.28925977785240886,0.04387112684625958,0.11862336521493885,0.2880373488905666
0.5,0.1,5.0,1.2,0.3,0.01,2,0.2382942042630082,0.05928834221720154,0.11757638181640452,0.2535185011649138
0.5,0.1,5.0,1.2,0.3,0.01,3,0.28659527671426616,0.05733208300790307,0.11753118812823783,0.2898110287297333
0.5,0.1,5.0,1.2,0.3,0.01,4,0.27344419691048866,0.06469616137288112,0.12114467164362658,0.3105478923434043
0.5,0.1,5.0,1.2,0.3,0.01,5,0.24870669458005676,0.03498472396109575,0.11926604755157912,0.2542002844664878
0.5,0.2,2.5,0.8,0.1,0.01,0,0.27970942202957666,0.03918129105730601,0.11933891407647981,0.2790999404629263
0.5,0.2,2.5,0.8,0.1,0.01,1,0.27570545281494874,0.028403970965649616,0.11862336521493885,0.2761150734510657
0.5,0.2,2.5,0.8,0.1,0.01,2,0.28938611200477143,0.05774384636488,0.11757638181640452,0.2881445222648806
0.5,0.2,2.5,0.8,0.1,0.01,3,0.28580230678027896,0.06304248378875126,0.11753118812823783,0.2828345873741618
0.5,0.2,2.5,0.8,0.1,0.01,4,0.3700212384761078,0.03812323799589096,0.12114467164362658,0.36988897755373107
0.5,0.2,2.5,0.8,0.1,0.01,5,0.27618593171415573,0.06900296145379714,0.11926604755157912,0.27574401240313906
0.5,0.2,2.5,0.8,0.2,0.01,0,0.2475778228955889,0.0600427453784539,0.11792259680263552,0.24381882736212146
0.5,0.2,2.5,0.8,0.2,0.01,1,0.22040810829480972,0.040644858026125476,0.11862336521493885,0.2247495996965407
0.5,0.2,2.5,0.8,0.2,0.01,2,0.17353633771261806,0.051224058369935245,0.11757638181640452,0.1852730964839955
0.5,0.2,2.5,0.8,0.2,0.01,3,0.20451983910490446,0.04216550649070384,0.11664118806708298,0.2042084573103541
0.5,0.2,2.5,0.8,0.2,0.01,4,0.22592844101904136,0.16122047848490997,0.12114467164362658,0.3430452124022189
0.5,0.2,2.5,0.8,0.2,0.01,5,0.23751430957492253,0.04090378542555471,0.11926604755157912,0.24001889938570198
0.5,0.2,2.5,0.8,0.3,0.01,0,0.14540754631664063,0.0628341071759144,0.11546780149740304,0.14887749505862852
0.5,0.2,2.5,0.8,0.3,0.01,1,0.18338431251252674,0.04681632324805623,0.11862336521493885,0.18648414021549067
